关键词,热度,标准化热度
店员猥亵女顾客店长称其私自上班,817099,50.44
武汉地铁黑人男子不文明行为,159843,9.87
武大校长张平文回应学生性骚扰事件,653304,40.33
武汉大学保持沉默,596490,36.82
武汉大学医学生回应机舱救人引争议,139533,8.61
武汉大学图书馆事件多方皆输,414186,25.57
武大性骚扰案校方仍未撤处分,598382,36.94
媒体评武汉大学图书馆性骚扰事件,1023893,63.2
武汉大学何时能还无辜学生清白,198621,12.26
男子商场抢金饰20分钟被抓,176200,10.88
火锅店被曝餐桌桌缝爬满活蛆,143575,8.86
武汉一女子在地铁车厢吃食物扔残渣,118338,7.3
武大图书馆事件诬告者岂能毫发无损,246666,15.23
医学生机舱救人被网友质疑风险极高,325598,20.1
市监回应火锅店桌缝内有活蛆爬行,377449,23.3
女子1年半内家里4人确诊癌症,363910,22.46
女子应聘驾校工作被要求视频看腿,332928,20.55
12306回应大妈高铁车厢跳舞喧哗,274766,16.96
多名大妈高铁车厢内跳舞大声喧哗,137527,8.49
醉驾车在闹市区顶了交警600米,319931,19.75
电瓶爆燃案肇事者母亲为儿子喊冤,300604,18.56
医生称坠入矿浆无黄金救援时间,1620065,100.0
